Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
61,Wednesday Jun 6,boxscore,SEA,@,HOU,L,5,7,,38-23,1,up 1.0,Devenski,Nicasio,Rondon,3:14,N,30361,-,
62,Thursday Jun 7,boxscore,SEA,@,TBR,W,5,4,,39-23,1,up 1.0,Leake,Pruitt,,2:43,N,10342,+,
63,Friday Jun 8,boxscore,SEA,@,TBR,W,4,3,,40-23,1,up 1.0,Gonzales,Font,Diaz,2:50,N,12435,++,
64,Saturday Jun 9,boxscore,SEA,@,TBR,L,3,7,,40-24,1,Tied,Snell,Hernandez,Roe,2:52,D,12258,-,
65,Sunday Jun 10,boxscore,SEA,@,TBR,W,5,4,,41-24,1,Tied,Paxton,Alvarado,Diaz,2:50,D,10512,+,
66,Monday Jun 11,boxscore,SEA,,LAA,W,5,3,,42-24,1,up 0.5,LeBlanc,Heaney,Diaz,2:35,N,20116,++,
67,Tuesday Jun 12,boxscore,SEA,,LAA,W,6,3,,43-24,1,up 0.5,Leake,Barria,Diaz,3:01,N,20402,+++,
68,Wednesday Jun 13,boxscore,SEA,,LAA,W-wo,8,6,,44-24,1,up 0.5,Elias,Drake,,3:35,D,28236,++++,
69,Thursday Jun 14,boxscore,SEA,,BOS,L,1,2,,44-25,2,0.5,Price,Hernandez,Kimbrel,2:56,N,30479,-,
70,Friday Jun 15,boxscore,SEA,,BOS,W,7,6,,45-25,2,0.5,Cook,Barnes,Diaz,3:09,N,44459,+,
71,Saturday Jun 16,boxscore,SEA,,BOS,W,1,0,,46-25,2,0.5,LeBlanc,Wright,Diaz,2:22,N,44151,++,
72,Sunday Jun 17,boxscore,SEA,,BOS,L,3,9,,46-26,2,1.5,Rodriguez,Leake,,3:15,D,46462,-,
73,Tuesday Jun 19,boxscore,SEA,@,NYY,L,2,7,,46-27,2,2.0,German,Gonzales,,2:28,N,45122,--,
74,Wednesday Jun 20,boxscore,SEA,@,NYY,L-wo,5,7,,46-28,2,3.0,Chapman,Cook,,3:28,N,46047,---,
75,Thursday Jun 21,boxscore,SEA,@,NYY,L,3,4,,46-29,2,3.5,Severino,Paxton,Chapman,2:51,D,46658,----,
76,Friday Jun 22,boxscore,SEA,@,BOS,L,10,14,,46-30,2,3.5,Barnes,Nicasio,,3:34,N,37342,-----,
77,Saturday Jun 23,boxscore,SEA,@,BOS,W,7,2,,47-30,2,3.5,Leake,Rodriguez,,3:01,N,36051,+,
78,Sunday Jun 24,boxscore,SEA,@,BOS,L,0,5,,47-31,2,4.5,Sale,Gonzales,,2:29,D,36274,-,
79,Monday Jun 25,boxscore,SEA,@,BAL,W,5,3,,48-31,2,3.5,Hernandez,Castro,Diaz,3:02,N,21202,+,
80,Tuesday Jun 26,boxscore,SEA,@,BAL,W,3,2,,49-31,2,3.5,Paxton,O'Day,Diaz,2:41,N,16327,++,
81,Wednesday Jun 27,boxscore,SEA,@,BAL,W,8,7,11,50-31,2,3.5,Bradford,Givens,Diaz,3:39,N,15502,+++,
82,Thursday Jun 28,boxscore,SEA,@,BAL,W,4,2,10,51-31,2,3.5,Pazos,Castro,Nicasio,3:04,D,14263,++++,
83,Friday Jun 29,boxscore,SEA,,KCR,W,4,1,,52-31,2,2.5,Gonzales,Kennedy,,2:26,N,25558,+++++,
84,Saturday Jun 30,boxscore,SEA,,KCR,W,6,4,,53-31,2,1.5,Hernandez,Hammel,Diaz,2:38,N,33395,++++++,
85,Sunday Jul 1,boxscore,SEA,,KCR,W,1,0,,54-31,2,0.5,Paxton,Keller,Diaz,2:00,D,38344,+++++++,
86,Tuesday Jul 3,boxscore,SEA,,LAA,W,4,1,,55-31,2,0.5,LeBlanc,Heaney,Diaz,2:27,N,38624,++++++++,
87,Wednesday Jul 4,boxscore,SEA,,LAA,L,4,7,,55-32,2,1.5,Richards,Leake,Parker,3:33,D,39518,-,
88,Thursday Jul 5,boxscore,SEA,,LAA,W,4,1,,56-32,2,1.5,Gonzales,Barria,Diaz,3:22,N,32128,+,
89,Friday Jul 6,boxscore,SEA,,COL,L,1,7,,56-33,2,2.5,Marquez,Hernandez,,3:11,N,26554,-,
90,Saturday Jul 7,boxscore,SEA,,COL,L,1,5,,56-34,2,3.5,Oberg,Paxton,,2:53,D,36104,--,
91,Sunday Jul 8,boxscore,SEA,,COL,W,6,4,,57-34,2,3.5,LeBlanc,Senzatela,Diaz,2:28,D,34440,+,
92,Tuesday Jul 10,boxscore,SEA,@,LAA,L,3,9,,57-35,2,4.0,Ramirez,Leake,,3:10,N,33092,-,
93,Wednesday Jul 11,boxscore,SEA,@,LAA,W,3,0,,58-35,2,3.0,Gonzales,Barria,Diaz,2:40,N,35591,+,
94,Thursday Jul 12,boxscore,SEA,@,LAA,L,2,11,,58-36,2,3.0,Skaggs,Paxton,,3:02,N,44027,-,
95,Friday Jul 13,boxscore,SEA,@,COL,L,7,10,,58-37,2,4.0,Musgrave,Bergman,Davis,3:19,N,38126,--,
96,Saturday Jul 14,boxscore,SEA,@,COL,L,1,4,,58-38,2,5.0,Gray,LeBlanc,Davis,2:50,N,47789,---,
97,Sunday Jul 15,boxscore,SEA,@,COL,L-wo,3,4,,58-39,2,5.0,Oberg,Vincent,,3:11,D,35630,----,
98,Friday Jul 20,boxscore,SEA,,CHW,W,3,1,,59-39,2,5.0,LeBlanc,Shields,Diaz,2:37,N,43331,+,
