yearID,R,RA,G,leagueRPG,leagueRAPG
2005,22325,22325,4860,4.593621399176954,4.593621399176954
2006,23599,23599,4858,4.857760395224372,4.857760395224372
2007,23322,23322,4862,4.7967914438502675,4.7967914438502675
2008,22585,22585,4856,4.650947281713345,4.650947281713345
2009,22419,22419,4860,4.612962962962963,4.612962962962963
2010,21308,21308,4860,4.3843621399176955,4.3843621399176955
2011,20808,20808,4858,4.283244133388226,4.283244133388226
2012,21017,21017,4860,4.324485596707819,4.324485596707819
2013,20255,20255,4862,4.1659810777457835,4.1659810777457835
2014,19761,19761,4860,4.0660493827160495,4.0660493827160495
2015,20647,20647,4858,4.250102923013586,4.250102923013586
2016,21744,21744,4854,4.479604449938195,4.479604449938195
2017,22582,22582,4860,4.646502057613168,4.646502057613168
2018,21630,21630,4862,4.448786507610037,4.448786507610037
