yearID,lgID,R,RA,G,leagueRPG,leagueRAPG
1927,NL,5651,5651,1228,4.601791530944626,4.601791530944626
1928,AL,5876,5876,1230,4.777235772357724,4.777235772357724
1928,NL,5769,5769,1224,4.713235294117647,4.713235294117647
1929,AL,6138,6138,1220,5.031147540983606,5.031147540983606
1929,NL,6609,6609,1222,5.408346972176759,5.408346972176759
1930,AL,6670,6670,1232,5.413961038961039,5.413961038961039
1930,NL,7025,7025,1232,5.7021103896103895,5.7021103896103895
1931,AL,6355,6355,1226,5.1835236541598695,5.1835236541598695
1931,NL,5537,5537,1228,4.508957654723127,4.508957654723127
1932,AL,6436,6436,1224,5.258169934640523,5.258169934640523
1932,NL,5680,5680,1232,4.6103896103896105,4.6103896103896105
1933,AL,6080,6080,1208,5.033112582781457,5.033112582781457
1933,NL,4908,4908,1224,4.009803921568627,4.009803921568627
1934,AL,6305,6305,1220,5.168032786885246,5.168032786885246
1934,NL,5695,5695,1210,4.706611570247934,4.706611570247934
1935,AL,6220,6220,1212,5.132013201320132,5.132013201320132
1935,NL,5806,5806,1226,4.735725938009788,4.735725938009788
1936,AL,7009,7009,1224,5.726307189542483,5.726307189542483
1936,NL,5837,5837,1232,4.737824675324675,4.737824675324675
1937,AL,6503,6503,1226,5.304241435562806,5.304241435562806
1937,NL,5567,5567,1226,4.540783034257749,4.540783034257749
1938,AL,6581,6581,1210,5.438842975206612,5.438842975206612
1938,NL,5388,5388,1204,4.475083056478406,4.475083056478406
1939,AL,6404,6404,1222,5.240589198036006,5.240589198036006
1939,NL,5472,5472,1220,4.4852459016393444,4.4852459016393444
1940,AL,6147,6147,1232,4.9894480519480515,4.9894480519480515
1940,NL,5421,5421,1224,4.428921568627451,4.428921568627451
1941,AL,5902,5902,1232,4.790584415584416,4.790584415584416
1941,NL,5266,5266,1230,4.28130081300813,4.28130081300813
1942,AL,5211,5211,1218,4.278325123152709,4.278325123152709
1942,NL,4784,4784,1212,3.947194719471947,3.947194719471947
1943,AL,4796,4796,1226,3.911908646003263,3.911908646003263
1943,NL,4898,4898,1228,3.988599348534202,3.988599348534202
1944,AL,5058,5058,1232,4.10551948051948,4.10551948051948
1944,NL,5295,5295,1230,4.304878048780488,4.304878048780488
1945,AL,4774,4774,1208,3.9519867549668874,3.9519867549668874
1945,NL,5512,5512,1228,4.488599348534202,4.488599348534202
1946,AL,5037,5037,1232,4.088474025974026,4.088474025974026
1946,NL,4916,4916,1234,3.9837925445705022,3.9837925445705022
1947,AL,5161,5161,1232,4.189123376623376,4.189123376623376
1947,NL,5666,5666,1232,4.599025974025974,4.599025974025974
1948,AL,5841,5841,1230,4.748780487804878,4.748780487804878
1948,NL,5487,5487,1230,4.4609756097560975,4.4609756097560975
1949,AL,5776,5776,1232,4.688311688311688,4.688311688311688
1949,NL,5650,5650,1232,4.586038961038961,4.586038961038961
1950,AL,6253,6253,1232,5.075487012987013,5.075487012987013
1950,NL,5760,5760,1228,4.690553745928339,4.690553745928339
1951,AL,5716,5716,1232,4.6396103896103895,4.6396103896103895
1951,NL,5552,5552,1238,4.48465266558966,4.48465266558966
1952,AL,5191,5191,1232,4.213474025974026,4.213474025974026
1952,NL,5158,5158,1230,4.1934959349593495,4.1934959349593495
1953,AL,5512,5512,1226,4.495921696574225,4.495921696574225
1953,NL,5914,5914,1232,4.800324675324675,4.800324675324675
1954,AL,5203,5203,1232,4.223214285714286,4.223214285714286
1954,NL,5624,5624,1232,4.564935064935065,4.564935064935065
1955,AL,5491,5491,1232,4.45698051948052,4.45698051948052
1955,NL,5578,5578,1230,4.534959349593496,4.534959349593496
1956,AL,5756,5756,1232,4.672077922077922,4.672077922077922
1956,NL,5275,5275,1232,4.2816558441558445,4.2816558441558445
1957,AL,5210,5210,1228,4.242671009771987,4.242671009771987
1957,NL,5426,5426,1232,4.404220779220779,4.404220779220779
1958,AL,5159,5159,1230,4.194308943089431,4.194308943089431
1958,NL,5419,5419,1232,4.398538961038961,4.398538961038961
1959,AL,5391,5391,1232,4.375811688311688,4.375811688311688
1959,NL,5462,5462,1236,4.419093851132686,4.419093851132686
1960,AL,5414,5414,1232,4.39448051948052,4.39448051948052
1960,NL,5250,5250,1232,4.261363636363637,4.261363636363637
1961,AL,7342,7342,1614,4.548946716232962,4.548946716232962
1961,NL,5600,5600,1232,4.545454545454546,4.545454545454546
1962,AL,7183,7183,1616,4.444925742574258,4.444925742574258
1962,NL,7278,7278,1620,4.492592592592593,4.492592592592593
1963,AL,6599,6599,1616,4.083539603960396,4.083539603960396
1963,NL,6181,6181,1620,3.815432098765432,3.815432098765432
1964,AL,6607,6607,1620,4.078395061728395,4.078395061728395
1964,NL,6517,6517,1620,4.02283950617284,4.02283950617284
1965,AL,6388,6388,1620,3.94320987654321,3.94320987654321
1965,NL,6558,6558,1618,4.053152039555006,4.053152039555006
1966,NL,6624,6624,1616,4.099009900990099,4.099009900990099
1966,AL,6276,6276,1610,3.898136645962733,3.898136645962733
1967,NL,6218,6218,1618,3.8430160692212607,3.8430160692212607
1967,AL,5992,5992,1616,3.707920792079208,3.707920792079208
1968,NL,5577,5577,1620,3.4425925925925926,3.4425925925925926
1968,AL,5532,5532,1618,3.419035846724351,3.419035846724351
1969,NL,7890,7890,1944,4.058641975308642,4.058641975308642
1969,AL,7960,7960,1942,4.098867147270854,4.098867147270854
1970,NL,8771,8771,1942,4.516477857878476,4.516477857878476
1970,AL,8109,8109,1944,4.171296296296297,4.171296296296297
1971,NL,7601,7601,1942,3.9140061791967042,3.9140061791967042
1971,AL,7472,7472,1932,3.867494824016563,3.867494824016563
1972,NL,7265,7265,1858,3.910118406889128,3.910118406889128
1972,AL,6441,6441,1858,3.4666307857911733,3.4666307857911733
1973,NL,8062,8062,1940,4.155670103092784,4.155670103092784
1973,AL,8314,8314,1944,4.276748971193416,4.276748971193416
1974,NL,8070,8070,1942,4.155509783728116,4.155509783728116
1974,AL,7976,7976,1940,4.111340206185567,4.111340206185567
1975,NL,8014,8014,1940,4.130927835051547,4.130927835051547
1975,AL,8281,8281,1926,4.299584631360332,4.299584631360332
1976,NL,7739,7739,1944,3.9809670781893005,3.9809670781893005
1976,AL,7753,7753,1934,4.008790072388831,4.008790072388831
1977,NL,8556,8556,1944,4.401234567901234,4.401234567901234
1977,AL,10247,10247,2262,4.530061892130858,4.530061892130858
1978,NL,7742,7742,1942,3.9866117404737382,3.9866117404737382
1978,AL,9509,9509,2262,4.203801945181255,4.203801945181255
1979,NL,8186,8186,1938,4.223942208462332,4.223942208462332
1979,AL,10527,10527,2256,4.6662234042553195,4.6662234042553195
1980,NL,7852,7852,1944,4.039094650205762,4.039094650205762
1980,AL,10201,10201,2258,4.517714791851196,4.517714791851196
1981,NL,5035,5035,1280,3.93359375,3.93359375
1981,AL,6112,6112,1498,4.080106809078772,4.080106809078772
1982,NL,7947,7947,1944,4.087962962962963,4.087962962962963
1982,AL,10163,10163,2268,4.481040564373898,4.481040564373898
1983,NL,7993,7993,1944,4.1116255144032925,4.1116255144032925
1983,AL,10177,10177,2268,4.48721340388007,4.48721340388007
1984,NL,7894,7894,1942,4.064881565396498,4.064881565396498
1984,AL,10027,10027,2266,4.424977934686672,4.424977934686672
1985,NL,7899,7899,1940,4.071649484536082,4.071649484536082
1985,AL,10317,10317,2262,4.561007957559681,4.561007957559681
1986,NL,8096,8096,1938,4.17750257997936,4.17750257997936
1986,AL,10449,10449,2266,4.611209179170344,4.611209179170344
